video_id,video_title,upload_date,view_count,like_count
S12_6dVlW3s,Qor Jangidagi Qahramonlik! TARIXIY G&#39;ALABA,2022-01-27,1454,246
SVKGlXfV8Wc,Nazorat uchrashuvi. Lokomotiv - Buxoro 0:0,2022-01-27,631,18
U1m_LmjpnFs,Maksim Shatskix va Nyukasl to&#39;qnashuvi YECHL o&#39;yini. Shatskixning 2 goli nega hisobga olinmadi?,2022-01-26,4091,150
fLws7J7DU9Q,"Arxiv. Rivaldoning &quot;Bunyodkor&quot;dagi birinchi gollari, kichkina Eldor Shomurodov",2022-01-26,7804,129
qCDHRTm4LxU,O&#39;zbekiston futzal terma jamoasi Xorvatiyaga ketishdan oldin mashg&#39;ulot o&#39;tkazdi,2022-01-24,1891,77
s_O8UXlMKXg,Азиз Ҳайдаров:&quot;Одил Аҳмедовда тажриба кам? Лекин у бунгача ишлаган ҳамма вице-президентлардан афзал&quot;,2022-01-23,24132,554
nNOHKtwlApk,O&#39;rtoqlik uchrashuvi. &quot;Lokomotiv&quot; &quot;Qo&#39;qon-1912&quot;ni mag&#39;lub etdi,2022-01-22,2913,64
vLTa8GfmNqY,Eldor Joze Mourinyomning &quot;Qora Ro&#39;yxati&quot;da? Buyog&#39;i haqiqiy jang bo&#39;ladi,2022-01-22,18811,576
I6Vlv_J6iaM,Eldor qaytmoqda Shomurodov super gol urdi Joze Mourinyo unga ishonmoqda,2022-01-21,97534,1871
Qkd46rXNwRw,Buxoro - So&#39;g&#39;diyona o&#39;rtoqlik uchrashuvi qanday o&#39;tdi?,2022-01-20,3752,68
3E2sZcEa6ek,Maksim Shatskix haqida ma&#39;lumotlar,2022-01-20,4765,214
fLlUqaJZT1w,Ispaniyaliklar kelgan &quot;Surxon&quot;ning mashg&#39;ulotidan reportaj,2022-01-20,13415,298
rVzcpeBntls,&quot;Bunyodkor&quot; &quot;Lokomotiv&quot;ga mag&#39;lub bo&#39;ldi,2022-01-19,2866,86
TYWAQa6x4f8,"Argentinaga gol urgan, Germaniya termasida o&#39;ynashi mumkin bo&#39;lgan Aleksandr Geynrix  haqida",2022-01-19,45644,1291
ad6MdYqGb2U,&quot;Bunyodkor&quot;ning mashg&#39;uloti davom etadi + legioner bilan suhbat,2022-01-18,4013,81
vTL6t9oXzcQ,&quot;Тезкор студия&quot;нинг бугунги сонида ОЧЛ ва ОФК Кубоги қуръаси ҳақида сўз юритамиз.,2022-01-17,6162,208
miVRTkF4GLk,Sezilarli yo&#39;qotishlarga uchragan &quot;Qo&#39;qon-1912&quot; mashg&#39;uloti qanday o&#39;tmoqda?,2022-01-15,4351,110
SN6PvNYus-8,&quot;Tezkor studiya&quot;. OCHL endi kuz-bahor tizimida o&#39;tadi-mi?,2022-01-14,5077,139
Kf8lhL7Chvg,Geynrix porlagan o&#39;yin O&#39;zbekiston va Quvayt 3-0,2022-01-14,28847,344
h8vlnsl9mUM,Eldor turkmanlar himoyasini sochib tashlagan o&#39;yin,2022-01-13,13340,282
WZ0GIihPdwA,&quot;Bu murabbiy xuddi otamdek bo&#39;lib qolgandi.&quot; - Ibrohimhalil Yo‘ldoshev,2022-01-13,22191,560
aQ0D6SkR-M0,&quot;Paxtakor&quot; yangi bosh murabbiyi: &quot;Meni qo&#39;l ostimda jamoa 100 foiz hujumkor o&#39;ynaydi&quot; (to&#39;liq video),2022-01-13,16150,295
dQ-GzV9K42M,"&quot;Asl darajamizni tan olaylik, o&#39;zbek futbolchilarini Malayziyaga ham olishmayapti&quot; — Sanjar Tursunov",2022-01-12,19561,470
p2pkzPE_qFI,&quot;Paxtakor&quot; yangi bosh murabbiy qo&#39;l ostida ilk mashg‘ulotni o&#39;tkazdi,2022-01-11,18386,334
yZt5dx92o4g,&quot;Tezkor studiya&quot;. Usmonali Ismonaliyev: &quot;Navbahor&quot; muxlislaridan uzr so&#39;rayman&quot;,2022-01-11,6775,139
_zH7UWPiKrk,&quot;Kim aslida kim&quot; - Odil Ahmedov,2022-01-11,58203,1272
_TPuYfGnbfk,"Qozog&#39;iston, Og&#39;ir sinovlar, Pulning kamligi, O&#39;tkir Yusupov hikoyasi",2022-01-11,12983,444
Gp_Iuh82fl4,Maestro Masharipov va super ijrolar,2022-01-10,2992,83
rK3ipMhY0LI,Superligaga qaytgan &quot;Neftchi&quot;ning Toshkentdagi mashg&#39;uloti (08.01.2022),2022-01-09,7486,129
-sIhgY3C7Jc,Qosimov boshchiligidagi AGMK yangi mavsumga tayyorgarlikni boshladi,2022-01-08,8014,171
Fsd0yN_wKHI,Futbol tarixidagi top-10 penaltilar Jaloliddin Masharipov kuchli 10 likda,2022-01-07,7462,282
0P8PxRj8AEM,Yosharayotgan &quot;Bunyodkor&quot; yangi mavsumga tayyorgarlikni boshladi + Shuhrat Maqsudovdan intervyu,2022-01-06,6371,132
LE1bmrhigCE,Mirjalol Qosimovning 2018-yilda bergan eksklyuziv intervyusi,2022-01-06,3602,100
YZbk0uJ2Fw0,&quot;Olimpik&quot; - Superligaga tayyorgarlik boshlandi,2022-01-05,4196,82
KgAz1ieQSE4,"&quot;Navbahor&quot;ning Toshkentdagi mashg&#39;uloti, Elgujadan muxlislarga murojaat!",2022-01-05,8655,195
D8ZIYadGl5A,Xotinidan qo&#39;rqadigan Robert Levandovski haqida Bir Futbolchi tarixi loyihasi,2022-01-05,4028,174
CHrbFjMWH9I,"Babayan, xatolar va kelishilgan o&#39;yinlar haqida — San&#39;at Shixov",2022-01-05,21371,397
ZN8C2pdjO58,Tarixiy gollarni yondirgan ajoyib sharhlar 1 qism,2022-01-04,12215,280
QNHbds6zTpg,Championat.asia va Olamsport.com xodimlaridan Yangi yil tilaklari,2021-12-31,800,29
VCIXOUZah1o,"Sizchi, Ronaldu haqida qanday faktlarni bilasiz? #shorts",2021-12-29,1520,105
aj_JHT__0HE,2021-yil qaysi voqea sizning yodingizda qoldi? #shorts,2021-12-28,2935,139
XhNbEdO9PFw,Bahrom Davlatov: &quot;Fidoyi bo‘lmaguncha futbolda foyda topmaysan&quot;,2021-12-26,5293,122
qc650Zy8_Vg,Uz Football Awards-2021. Shomurodov va Berdiyev eng yaxshi (to&#39;liq video),2021-12-25,40908,780
lm49CHK8rpE,2021-yilning top 10 chiroyli gollari. Legioner futbolchilarimizdan,2021-12-25,54428,883
Z4HzMqaGfjc,Diyor Rahimqulovning yorqin xotirasiga bag&#39;ishlanadi,2021-12-24,20760,848
abs9kK492Mw,Eldor Shomurodovning 2021-yildagi barcha gollari Roma va Jenoa,2021-12-23,78011,1170
6qmPZzVJlgc,"&quot;8 yilga urilgan futbolchini taniyman, Babayanga murojaat&quot; - Timur Hakimov bilan intervyu",2021-12-22,28500,675
O4WiZCT_TCw,Odil Ahmedov futbolchilik faoliyatini yakunladi (to&#39;liq video),2021-12-20,71417,1261
0TlSw4nHf3M,O&#39;zbek futboli tarixidagi eng alamli o&#39;yin O&#39;zbekiston vs Xitoy JCH saralashi 2018,2021-12-20,67346,707
J1DKF0JKdfg,Superliga-2021. Mavsumning eng chiroyli gollari TOP-20,2021-12-17,16543,326
HlaYbFnrIsQ,"&quot;O&#39;zbekiston hech qachon Jahon chempionatiga chiqolmaydi&quot; Odil Ahmedov, Sardor Rashidov, Anzur",2021-12-15,149695,3196
6lLhAR_pS5k,&quot;Bunyodkor&quot; klubi akademiya tarbiyalanuvchilarini taqdirlash marosimini o&#39;tkazdi,2021-12-14,2327,54
niboDXkaBCo,"8+3. Abramovga omadsizlik emas, bilimsizlik pand berdi",2021-12-13,1389,42
nu9Yiie2DCk,Klublar tomonidan hakamlar departamentiga bosim bo&#39;ladimi? Erkin Baxtiyorov bilan intervyu,2021-12-11,1536,26
AoxKZQ06eNY,"&quot;Andijon&quot;, &quot;Olimpik&quot; va litsenziyalash haqida - Diyor Imomxo&#39;jayev bilan intervyu",2021-12-11,14904,407
wh0iU8-Kz0Y,Ko&#39;rinmas ГЕРОЙ Ignatiy Nesterov haqida. BirFutbolchiTarixi 6-son,2021-12-11,20597,679
IzwfdJYv4dQ,"Футбольная Махалля №2 Азамат Абдураимов: победа в Азиаде, наставления отца и проблемы нашего футбола",2021-12-11,1339,32
J_0ui4z6Tqs,8+3. O&#39;zbek futbolidagi eng omadsiz shaxs kim?,2021-12-09,1838,53
TAY9NFlRh4s,Qaysi klublarning futbolchilardan qarzi bor? Kamoliddin Murzoyev bilan intervyu,2021-12-07,5284,92
oGASHWevuME,&quot;Futbol olami&quot;. &quot;Nasaf&quot; kubok sohibi va &quot;Olimpik&quot; Superligada!,2021-12-06,12868,276
1CEk9bRtx_E,"1 mlrd so‘rayotgan futbolchi, transferlar va Babayan bilan aloqalar haqida — Ulug‘bek Mirzayev",2021-12-06,7646,142
Kyw7XslsM4U,&quot;Kichkina kamera&quot;. &quot;Nasaf&quot; ikkinchi bor O&#39;zbekiston kubogini qo&#39;lga kiritdi,2021-12-04,20649,417
MH5PjU6nIJc,&quot;Nasaf&quot; finaldagi g&#39;alabani qanday nishonlaganini ko&#39;rdingizmi?,2021-12-04,32279,920
oif4_SQxU6M,Final-2021. Piter Xyuistra ishtirokidagi matbuot anjumani,2021-12-04,2512,52
eXNWcWES7jc,Final-2021. Ro&#39;ziqul Berdiyev ishtirokidagi matbuot anjumani,2021-12-04,11989,330
aZuYofvbjqw,&quot;Tezkor studiya&quot;. &quot;Nasaf&quot; - O&#39;zbekiston kubogi sohibi!,2021-12-04,15014,348
bzgLmPEfJyc,"Mourning boshqa iloji qolmadi, Bugun yoki hech qachon",2021-12-04,2866,123
EPirK8nGvic,&quot;Tezkor studiya&quot;. Finaldan oldingi JONLI EFIR,2021-12-04,3588,90
ML6ogJ26JfU,Ko&#39;chadagi kamera. Finalda kim yutadi - &quot;Paxtakor&quot; yoki &quot;Nasaf&quot;?,2021-12-04,25406,782
TKYWq7930Io,Bu ajoyib. O&#39;zbekiston kubogi sovrini Samarqand bo&#39;ylab &quot;sayr&quot; qildi,2021-12-03,4186,101
CqwT_0DfTt8,O&#39;zbekiston kubogi finali. &quot;Nasaf&quot;ning finaldan oldingi rasmiy mashg&#39;uloti,2021-12-03,7745,192
oiyXiHOzMiU,Final-2021. Ro&#39;ziqul Berdiyev: &quot;Finaldan oldin Stanoyevich va Cheran kelishib olgan shekilli&quot;,2021-12-03,11748,305
U-OH7j7Ngv8,Final-2021. Piter Xyuistra: &quot;20 yildan keyin barcha kubok yutgan jamoani eslaydi&quot;,2021-12-03,2809,78
IrZcwLAI19M,O&#39;zbekiston kubogi finali. &quot;Paxtakor&quot;ning finaldan oldingi rasmiy mashg&#39;uloti,2021-12-03,9174,151
uHQKK-VQXIk,"Championat,asia 11 yoshda!!! #shorts",2021-12-02,2279,70
zzn9j-gMhxo,O&#39;tish o&#39;yini. Olimpik - Mash&#39;al 3:1. Highlights,2021-12-02,13776,227
